monat;SPIEGEL_avg_words;SPIEGEL_avg_chars;STERN_avg_words;STERN_avg_chars;SPIEGEL_anzahl;STERN_anzahl;monat_dt
1974-06;643.4207650273224;4715.38524590164;;;366;0;1974-06-01
1974-07;678.1070110701107;4934.682656826568;;;271;0;1974-07-01
1974-08;648.1161048689139;4698.003745318352;;;267;0;1974-08-01
1974-09;648.3218085106383;4707.757978723404;;;376;0;1974-09-01
1974-10;724.5377049180328;5265.134426229508;;;305;0;1974-10-01
1974-11;728.2124183006536;5301.7091503267975;;;306;0;1974-11-01
1974-12;685.4434782608696;4949.173913043478;;;345;0;1974-12-01
1975-01;660.6605839416059;4827.686131386861;;;274;0;1975-01-01
1975-02;669.0033898305085;4861.396610169491;;;295;0;1975-02-01
1975-03;657.9973045822103;4780.9272237196765;;;371;0;1975-03-01
1975-04;635.1578947368421;4614.455108359133;;;323;0;1975-04-01
1975-05;709.9494949494949;5151.259259259259;;;297;0;1975-05-01
1975-06;659.9281767955802;4815.42817679558;;;362;0;1975-06-01
1975-07;649.0551724137931;4712.262068965517;;;290;0;1975-07-01
1975-08;602.604774535809;4399.15649867374;;;377;0;1975-08-01
1975-09;648.26;4696.873333333333;;;300;0;1975-09-01
1975-10;754.2705882352941;5428.202941176471;;;340;0;1975-10-01
1975-11;697.6389548693587;5031.859857482185;;;421;0;1975-11-01
1975-12;642.8383838383838;4682.909090909091;;;297;0;1975-12-01
1976-01;678.788679245283;4902.732075471698;;;265;0;1976-01-01
1976-02;670.2884615384615;4845.895604395604;;;364;0;1976-02-01
1976-03;661.7456140350877;4806.909356725147;;;342;0;1976-03-01
1976-04;726.4424778761062;5268.058997050148;;;339;0;1976-04-01
1976-05;841.7118055555555;6122.451388888889;;;288;0;1976-05-01
1976-06;747.726643598616;5421.301038062284;;;289;0;1976-06-01
1976-07;748.6447368421053;5403.858552631579;;;304;0;1976-07-01
1976-08;742.0054794520548;5380.3452054794525;;;365;0;1976-08-01
1976-09;826.6808510638298;5970.547112462006;;;329;0;1976-09-01
1976-10;763.3873873873874;5578.324324324324;;;444;0;1976-10-01
1976-11;773.7720797720798;5566.122507122507;;;351;0;1976-11-01
1976-12;694.003125;5050.034375;;;320;0;1976-12-01
1977-01;727.9777158774373;5269.66852367688;;;359;0;1977-01-01
1977-02;777.4638157894736;5659.769736842105;;;304;0;1977-02-01
1977-03;787.3215339233038;5748.339233038348;;;339;0;1977-03-01
1977-04;793.7039274924472;5782.625377643504;;;331;0;1977-04-01
1977-05;752.7178899082569;5504.224770642202;;;436;0;1977-05-01
1977-06;752.5514285714286;5494.905714285715;;;350;0;1977-06-01
1977-07;812.095;5853.515;;;400;0;1977-07-01
1977-08;811.906148867314;5895.957928802589;;;309;0;1977-08-01
1977-09;822.5329153605015;5974.871473354232;;;319;0;1977-09-01
1977-10;882.4658227848101;6391.124050632911;;;395;0;1977-10-01
1977-11;843.5782747603834;6120.386581469648;;;313;0;1977-11-01
1977-12;769.8018867924528;5609.342767295598;;;318;0;1977-12-01
1978-01;794.710027100271;5799.815718157181;;;369;0;1978-01-01
1978-02;802.0958083832336;5783.856287425149;;;334;0;1978-02-01
1978-03;890.7587939698492;6413.341708542714;;;199;0;1978-03-01
1978-04;759.1990291262136;5505.694174757282;;;412;0;1978-04-01
1978-05;829.5718475073314;6032.014662756598;;;341;0;1978-05-01
1978-06;761.7042253521126;5512.352112676056;;;355;0;1978-06-01
1978-07;809.0342298288508;5845.356968215159;;;409;0;1978-07-01
1978-08;783.4239766081871;5626.339181286549;;;342;0;1978-08-01
1978-09;790.94;5734.4228571428575;;;350;0;1978-09-01
1978-10;876.6502463054187;6317.288177339901;;;406;0;1978-10-01
1978-11;836.2852852852853;6095.0330330330335;;;333;0;1978-11-01
1978-12;805.5318066157761;5833.249363867684;;;393;0;1978-12-01
1979-01;807.3385579937304;5860.3448275862065;;;319;0;1979-01-01
1979-02;861.081081081081;6206.543543543544;;;333;0;1979-02-01
1979-03;861.5945945945946;6216.0;;;333;0;1979-03-01
1979-04;835.0837438423646;6057.71921182266;;;406;0;1979-04-01
1979-05;851.4868421052631;6207.7171052631575;;;304;0;1979-05-01
